"Symbol","Company Name","Sector","Industry"
"AREC","American Resources Corp","Energy","Oil, Gas & Consumable Fuels"
"ARES","Ares Management Corp","Financials","Capital Markets"
"ARES-A","Ares Management Corp","Financials","Capital Markets"
"ARGO","Argo Group International Holdings, Ltd.","Financials","Insurance"
"ARI","Apollo Commercial Real Est. Finance Inc","Financials","Mortgage Real Estate Investment Trusts (REITs)"
"ARKR","Ark Restaurants Corp","Consumer Discretionary","Hotels, Restaurants & Leisure"
"ARL","American Realty Investors, Inc.","Real Estate","Real Estate Management & Development"
"ARLO","Arlo Technologies Inc","Information Technology","Electronic Equipment, Instruments & Components"
"ARLP","Alliance Resource Partners, L.P.","Energy","Oil, Gas & Consumable Fuels"
"ARMK","Aramark","Consumer Discretionary","Hotels, Restaurants & Leisure"
"ARMP","Armata Pharmaceuticals Inc","Health Care","Biotechnology"
"ARNA","Arena Pharmaceuticals, Inc.","Health Care","Biotechnology"
"ARNC","Arconic Corp (PITTSBURGH)","",""
"AROC","Archrock Inc","Energy","Energy Equipment & Services"
"AROW","Arrow Financial Corporation","Financials","Banks"
"ARPO","Aerpio Pharmaceuticals Inc","Health Care","Pharmaceuticals"
"ARQT","Arcutis Biotherapeutics Inc","",""
"ARR","ARMOUR Residential REIT, Inc.","Financials","Mortgage Real Estate Investment Trusts (REITs)"
"ARR-C","ARMOUR Residential REIT Inc","Financials","Mortgage Real Estate Investment Trusts (REITs)"
"ARTL","Artelo Biosciences Inc","Health Care","Pharmaceuticals"
"ARTNA","Artesian Resources Corporation","Utilities","Water Utilities"
"ARTW","Arts-Way Manufacturing Co. Inc.","Industrials","Machinery"
"ARVN","Arvinas Inc","Health Care","Pharmaceuticals"
"ARW","Arrow Electronics, Inc.","Information Technology","Electronic Equipment, Instruments & Components"
"ARWR","Arrowhead Pharmaceuticals Inc","Health Care","Biotechnology"
"ARYA","Arya Sciences Acquisition Corp","",""
"ARYBU","ARYA Sciences Acquisition II Corp","",""
"ASA","ASA Gold and Precious Metals Ltd","",""
"ASB","Associated Banc Corp","Financials","Banks"
"ASC","Ardmore Shipping Corp","Energy","Oil, Gas & Consumable Fuels"
"ASFI","Asta Funding, Inc.","Financials","Consumer Finance"
"ASG","Liberty All-Star Growth Fund Inc.","",""
"ASGN","ASGN Inc","Industrials","Professional Services"
"ASH","Ashland Global Holdings Inc.","Materials","Chemicals"
"ASIX","AdvanSix Inc","Materials","Chemicals"
"ASMB","Assembly Biosciences Inc","Health Care","Biotechnology"
"ASML","ASML Holding NV (ADR)","Information Technology","Semiconductors & Semiconductor Equipment"
"ASNA","Ascena Retail Group Inc","Consumer Discretionary","Specialty Retail"
"ASND","Ascendis Pharma A/S","Health Care","Biotechnology"
"ASPN","Aspen Aerogels Inc","Energy","Energy Equipment & Services"
